zipcode,year,avg_price,avg_size,avg_bedrooms,avg_bathrooms,count_houses
98001,2014,275250.87,1889.02,3.36,2.01,245
98001,2015,292434.49,1925.65,3.44,2.01,117
98002,2014,234215.78,1640.14,3.37,1.88,132
98002,2015,234418.51,1603.31,3.24,1.75,67
98003,2014,292311.72,1930.5,3.34,2.05,184
98003,2015,297560.44,1925.78,3.39,2.04,96
98004,2014,1295630.17,2882.86,3.87,2.53,210
98004,2015,1474266.81,2960.37,3.83,2.52,107
98005,2014,803386.54,2677.82,3.83,2.44,118
98005,2015,826161.74,2607.2,3.9,2.38,50
98006,2014,829379.73,2861.14,3.86,2.51,347
98006,2015,929326.17,2950.71,3.81,2.65,151
98007,2014,618397.48,2169.8,3.72,2.18,101
98007,2015,613841.8,2213.0,4.05,2.15,40
98008,2014,645482.55,2178.7,3.76,2.11,193
98008,2015,645560.61,2036.39,3.69,2.04,90
98010,2014,423160.37,2058.23,3.21,1.97,62
98010,2015,424490.95,2267.08,3.42,2.12,38
98011,2014,484805.18,2255.56,3.49,2.3,142
98011,2015,505211.32,2246.51,3.72,2.23,53
98014,2014,457489.59,2128.4,2.96,2.05,92
98014,2015,450233.75,2087.97,3.12,2.05,32
98019,2014,425077.11,2221.48,3.38,2.33,124
98019,2015,424246.97,2077.77,3.33,2.22,66
98022,2014,315381.49,1844.1,3.18,1.89,154
98022,2015,316340.35,1809.65,3.1,1.94,80
98023,2014,286653.01,2006.23,3.47,2.09,335
98023,2015,286895.76,1956.02,3.33,2.01,164
98024,2014,550451.4,2270.7,3.28,2.04,50
98024,2015,629035.48,2445.16,3.32,2.36,31
98027,2014,615838.64,2566.01,3.54,2.51,285
98027,2015,619575.69,2399.25,3.52,2.41,127
98028,2014,454811.69,2105.75,3.46,2.13,185
98028,2015,476956.0,2154.77,3.52,2.18,98
98029,2014,609954.93,2300.13,3.45,2.61,229
98029,2015,619370.98,2244.57,3.38,2.52,92
98030,2014,295402.7,1972.7,3.48,2.19,155
98030,2015,297393.12,1946.85,3.53,2.12,101
98031,2014,298173.13,1923.61,3.51,2.14,179
98031,2015,304999.37,1946.74,3.43,2.16,95
98032,2014,248700.34,1712.79,3.34,1.7,87
98032,2015,257239.47,1795.87,3.5,1.74,38
98033,2014,798343.51,2460.27,3.58,2.39,292
98033,2015,814932.34,2216.71,3.51,2.22,140
98034,2014,513553.09,1983.05,3.5,2.15,383
98034,2015,540802.31,1968.28,3.38,2.05,162
98038,2014,362377.07,2160.01,3.47,2.39,377
98038,2015,374815.63,2125.95,3.38,2.35,213
98039,2014,2347731.89,4082.3,4.03,3.31,37
98039,2015,1628019.23,3000.0,4.15,2.88,13
98040,2014,1187996.04,3118.05,3.98,2.7,196
98040,2015,1208437.7,3081.28,4.14,2.74,86
98042,2014,306969.58,1992.76,3.42,2.12,344
98042,2015,319494.4,1964.55,3.37,2.14,204
98045,2014,424430.25,2025.69,3.23,2.12,166
98045,2015,484867.05,2178.91,3.22,2.07,55
98052,2014,638931.38,2370.47,3.61,2.38,416
98052,2015,661818.99,2345.72,3.63,2.34,158
98053,2014,682795.35,2690.63,3.26,2.47,281
98053,2015,667665.69,2462.82,3.11,2.39,124
98055,2014,298219.33,1770.33,3.17,1.92,172
98055,2015,315088.76,1810.36,3.32,1.97,96
98056,2014,422893.31,2019.66,3.4,2.04,265
98056,2015,417126.5,2012.27,3.5,2.05,141
98058,2014,354325.3,2078.3,3.59,2.11,292
