zipcode,year,avg_price_t1,avg_size,avg_bedrooms,avg_bathrooms,count_houses,avg_price_t2
98001,2014,275250.87,1889.02,3.36,2.01,245,275250.87
98001,2015,292434.49,1925.65,3.44,2.01,117,292434.49
98002,2014,234215.78,1640.14,3.37,1.88,132,234215.78
98002,2015,234418.51,1603.31,3.24,1.75,67,234418.51
98003,2014,292311.72,1930.5,3.34,2.05,184,292311.72
98003,2015,297560.44,1925.78,3.39,2.04,96,297560.44
98004,2014,1295630.17,2882.86,3.87,2.53,210,1295630.17
98004,2015,1474266.81,2960.37,3.83,2.52,107,1474266.81
98005,2014,803386.54,2677.82,3.83,2.44,118,803386.54
98005,2015,826161.74,2607.2,3.9,2.38,50,826161.74
98006,2014,829379.73,2861.14,3.86,2.51,347,829379.73
98006,2015,929326.17,2950.71,3.81,2.65,151,929326.17
98007,2014,618397.48,2169.8,3.72,2.18,101,618397.48
98007,2015,613841.8,2213.0,4.05,2.15,40,613841.8
98008,2014,645482.55,2178.7,3.76,2.11,193,645482.55
98008,2015,645560.61,2036.39,3.69,2.04,90,645560.61
98010,2014,423160.37,2058.23,3.21,1.97,62,423160.37
98010,2015,424490.95,2267.08,3.42,2.12,38,424490.95
98011,2014,484805.18,2255.56,3.49,2.3,142,484805.18
98011,2015,505211.32,2246.51,3.72,2.23,53,505211.32
98014,2014,457489.59,2128.4,2.96,2.05,92,457489.59
98014,2015,450233.75,2087.97,3.12,2.05,32,450233.75
98019,2014,425077.11,2221.48,3.38,2.33,124,425077.11
98019,2015,424246.97,2077.77,3.33,2.22,66,424246.97
98022,2014,315381.49,1844.1,3.18,1.89,154,315381.49
98022,2015,316340.35,1809.65,3.1,1.94,80,316340.35
98023,2014,286653.01,2006.23,3.47,2.09,335,286653.01
98023,2015,286895.76,1956.02,3.33,2.01,164,286895.76
98024,2014,550451.4,2270.7,3.28,2.04,50,550451.4
98024,2015,629035.48,2445.16,3.32,2.36,31,629035.48
98027,2014,615838.64,2566.01,3.54,2.51,285,615838.64
98027,2015,619575.69,2399.25,3.52,2.41,127,619575.69
98028,2014,454811.69,2105.75,3.46,2.13,185,454811.69
98028,2015,476956.0,2154.77,3.52,2.18,98,476956.0
98029,2014,609954.93,2300.13,3.45,2.61,229,609954.93
98029,2015,619370.98,2244.57,3.38,2.52,92,619370.98
98030,2014,295402.7,1972.7,3.48,2.19,155,295402.7
98030,2015,297393.12,1946.85,3.53,2.12,101,297393.12
98031,2014,298173.13,1923.61,3.51,2.14,179,298173.13
98031,2015,304999.37,1946.74,3.43,2.16,95,304999.37
98032,2014,248700.34,1712.79,3.34,1.7,87,248700.34
98032,2015,257239.47,1795.87,3.5,1.74,38,257239.47
98033,2014,798343.51,2460.27,3.58,2.39,292,798343.51
98033,2015,814932.34,2216.71,3.51,2.22,140,814932.34
98034,2014,513553.09,1983.05,3.5,2.15,383,513553.09
98034,2015,540802.31,1968.28,3.38,2.05,162,540802.31
98038,2014,362377.07,2160.01,3.47,2.39,377,362377.07
98038,2015,374815.63,2125.95,3.38,2.35,213,374815.63
98039,2014,2347731.89,4082.3,4.03,3.31,37,2347731.89
98039,2015,1628019.23,3000.0,4.15,2.88,13,1628019.23
98040,2014,1187996.04,3118.05,3.98,2.7,196,1187996.04
98040,2015,1208437.7,3081.28,4.14,2.74,86,1208437.7
98042,2014,306969.58,1992.76,3.42,2.12,344,306969.58
98042,2015,319494.4,1964.55,3.37,2.14,204,319494.4
98045,2014,424430.25,2025.69,3.23,2.12,166,424430.25
98045,2015,484867.05,2178.91,3.22,2.07,55,484867.05
98052,2014,638931.38,2370.47,3.61,2.38,416,638931.38
98052,2015,661818.99,2345.72,3.63,2.34,158,661818.99
98053,2014,682795.35,2690.63,3.26,2.47,281,682795.35
98053,2015,667665.69,2462.82,3.11,2.39,124,667665.69
98055,2014,298219.33,1770.33,3.17,1.92,172,298219.33
98055,2015,315088.76,1810.36,3.32,1.97,96,315088.76
98056,2014,422893.31,2019.66,3.4,2.04,265,422893.31
98056,2015,417126.5,2012.27,3.5,2.05,141,417126.5
98058,2014,354325.3,2078.3,3.59,2.11,292,354325.3
98058,2015,352324.8,1998.28,3.4,2.07,163,352324.8
98059,2014,493594.53,2423.35,3.73,2.36,316,493594.53
98059,2015,493465.23,2362.7,3.68,2.3,152,493465.23
98065,2014,517541.89,2572.51,3.52,2.53,199,517541.89
98065,2015,546640.86,2569.19,3.53,2.57,111,546640.86
98070,2014,478821.07,1856.52,2.69,1.82,90,478821.07
98070,2015,515310.71,1956.61,2.96,2.14,28,515310.71
98072,2014,574530.03,2401.74,3.39,2.3,176,574530.03
98072,2015,561663.67,2317.11,3.57,2.13,97,561663.67
98074,2014,683414.54,2674.45,3.66,2.51,319,683414.54
98074,2015,691335.31,2571.15,3.53,2.46,122,691335.31
98075,2014,786444.03,3020.56,3.9,2.76,242,786444.03
98075,2015,799124.48,3007.7,3.76,2.69,117,799124.48
98077,2014,662100.18,2826.74,3.62,2.44,141,662100.18
98077,2015,733917.54,2932.02,3.6,2.53,57,733917.54
98092,2014,339810.79,2257.97,3.54,2.23,226,339810.79
98092,2015,326080.44,2083.01,3.44,2.26,125,326080.44
98102,2014,888158.97,2122.99,3.14,2.22,78,888158.97
98102,2015,939100.67,2265.93,3.44,2.39,27,939100.67
98103,2014,578038.96,1671.53,3.09,1.98,432,578038.96
98103,2015,602403.14,1598.24,2.98,1.83,170,602403.14
98105,2014,839356.78,2135.49,3.58,2.14,157,839356.78
98105,2015,913999.49,2183.47,3.58,2.21,72,913999.49
98106,2014,311118.48,1492.32,3.13,1.84,212,311118.48
98106,2015,334167.88,1480.24,3.06,1.75,123,334167.88
98107,2014,558015.11,1551.42,2.98,2.01,176,558015.11
98107,2015,620195.0,1634.56,3.03,2.11,90,620195.0
98108,2014,354086.73,1726.12,3.23,1.98,139,354086.73
98108,2015,360386.13,1641.06,3.13,1.79,47,360386.13
98109,2014,889279.43,2065.95,3.15,2.13,79,889279.43
98109,2015,854196.67,2025.37,3.3,2.24,30,854196.67
98112,2014,1068574.17,2499.73,3.53,2.39,195,1068574.17
98112,2015,1166450.81,2496.15,3.46,2.32,74,1166450.81
98115,2014,613597.26,1892.0,3.23,1.91,397,613597.26
98115,2015,633354.33,1714.26,3.14,1.77,186,633354.33
98116,2014,606727.56,1865.47,3.08,2.01,216,606727.56
98116,2015,641194.07,1830.44,3.04,1.94,114,641194.07
98117,2014,572776.59,1729.67,3.05,1.84,396,572776.59
98117,2015,586930.63,1597.13,2.95,1.75,157,586930.63
98118,2014,410130.92,1712.72,3.08,1.77,311,410130.92
98118,2015,429487.82,1645.74,3.19,1.75,197,429487.82
98119,2014,850026.12,2032.25,3.26,2.27,130,850026.12
98119,2015,848056.3,1941.48,3.26,2.12,54,848056.3
98122,2014,632246.6,1802.45,3.16,2.08,207,632246.6
98122,2015,639631.39,1741.64,3.17,2.02,83,639631.39
98125,2014,466995.45,1813.99,3.29,1.91,280,466995.45
98125,2015,474754.92,1598.02,3.01,1.63,130,474754.92
98126,2014,413803.28,1531.63,2.79,1.66,253,413803.28
98126,2015,452018.01,1573.56,2.94,1.72,101,452018.01
98133,2014,369761.07,1576.85,3.09,1.71,322,369761.07
98133,2015,419265.4,1684.9,3.2,1.78,172,419265.4
98136,2014,550435.51,1750.09,2.93,1.9,169,550435.51
98136,2015,553941.7,1685.0,2.94,1.8,94,553941.7
98144,2014,613206.95,1976.49,3.2,2.07,227,613206.95
98144,2015,558033.33,1786.12,3.26,2.01,116,558033.33
98146,2014,360093.24,1657.53,3.14,1.69,174,360093.24
98146,2015,358552.19,1566.39,3.1,1.55,114,358552.19
98148,2014,285849.74,1684.87,3.23,1.88,39,285849.74
98148,2015,282869.44,1449.44,2.94,1.6,18,282869.44
98155,2014,416564.27,1778.39,3.28,1.78,304,416564.27
98155,2015,439057.2,1804.23,3.41,1.88,142,439057.2
98166,2014,453688.76,2078.43,3.4,1.93,168,453688.76
98166,2015,484827.62,2047.35,3.33,1.88,86,484827.62
98168,2014,233594.96,1462.13,3.01,1.41,188,233594.96
98168,2015,255956.54,1483.7,2.98,1.5,81,255956.54
98177,2014,660875.79,2331.33,3.36,2.08,181,660875.79
98177,2015,713631.85,2303.78,3.47,2.15,74,713631.85
98178,2014,306093.51,1703.78,3.31,1.72,185,306093.51
98178,2015,321470.68,1790.78,3.3,1.76,77,321470.68
98188,2014,279961.81,1781.65,3.48,1.85,83,279961.81
98188,2015,303355.19,1835.85,3.36,1.88,53,303355.19
98198,2014,310021.55,1792.69,3.19,1.82,182,310021.55
98198,2015,289613.93,1657.47,3.16,1.74,98,289613.93
98199,2014,790335.52,2176.36,3.23,2.18,214,790335.52
98199,2015,794906.75,2131.55,3.17,2.15,103,794906.75
