municipio,Q1,Q2,Q3,Q4,total_delitos,variabilidad,trimestre_peligroso
Ecatepec de Morelos,16124.0,16240.0,16227.0,16287.0,64878.0,68.68527256018328,Q4
Tijuana,14373.0,13201.0,13243.0,14278.0,55095.0,638.5156615150485,Q1
Guadalajara,12641.0,12298.0,14488.0,13600.0,53027.0,988.6264461362542,Q3
Tlalnepantla de Baz,7101.0,7245.0,7430.0,7125.0,28901.0,150.33379526906117,Q3
Mexicali,7097.0,6462.0,6185.0,6892.0,26636.0,412.1561192881487,Q1
Puebla,6216.0,6270.0,6244.0,6448.0,25178.0,104.68205831628137,Q4
Zapopan,5708.0,5944.0,6689.0,6353.0,24694.0,434.8643466645662,Q3
Querétaro,5881.0,5825.0,6583.0,6324.0,24613.0,363.18441137618595,Q3
Benito Juárez,6266.0,5802.0,5884.0,6194.0,24146.0,227.83254084231837,Q1
Aguascalientes,5363.0,4917.0,4837.0,5419.0,20536.0,299.42389127567407,Q4
Toluca,5016.0,4886.0,5316.0,5178.0,20396.0,187.60597005426027,Q3
Naucalpan de Juárez,5000.0,5149.0,5179.0,5059.0,20387.0,82.22073947612002,Q3
Iztapalapa,5246.0,4776.0,4874.0,5206.0,20102.0,235.51574611194613,Q1
Culiacán,4986.0,4611.0,4634.0,5063.0,19294.0,234.40207621378556,Q4
Juárez,4771.0,4448.0,5004.0,4995.0,19218.0,260.9629603347316,Q3
Cuautitlán Izcalli,4401.0,4223.0,4671.0,4419.0,17714.0,184.28510520386612,Q3
Nezahualcóyotl,4583.0,4451.0,4140.0,4050.0,17224.0,252.2208027370727,Q1
San Luis Potosí,3759.0,3418.0,4129.0,4613.0,15919.0,512.3718538977982,Q4
Gustavo A. Madero,4013.0,3864.0,3970.0,3936.0,15783.0,62.95170106253418,Q1
Cuernavaca,3602.0,3707.0,3370.0,3601.0,14280.0,142.30717948625548,Q2
Morelia,3651.0,3477.0,3543.0,3511.0,14182.0,75.31932023060219,Q1
Cuauhtémoc,3499.0,3245.0,3535.0,3549.0,13828.0,142.89390003308984,Q4
Ensenada,3386.0,3165.0,3292.0,3360.0,13203.0,98.7973515164585,Q1
Chimalhuacán,2945.0,3100.0,3072.0,3120.0,12237.0,78.66966802184096,Q4
Tultitlán,2855.0,3122.0,3106.0,3113.0,12196.0,129.4990347454374,Q2
Acapulco de Juárez,3193.0,2786.0,3085.0,2977.0,12041.0,173.56915048475636,Q1
Tecámac,2986.0,2846.0,3044.0,3031.0,11907.0,90.63985510432667,Q3
La Paz,3106.0,2963.0,2906.0,2923.0,11898.0,90.86436778701173,Q1
San Pedro Tlaquepaque,2769.0,2772.0,2999.0,3183.0,11723.0,199.71041535182886,Q4
Centro,2907.0,2986.0,2841.0,2949.0,11683.0,62.195257053894395,Q2
Reynosa,2768.0,2947.0,2595.0,3072.0,11382.0,208.45543088791587,Q4
Chihuahua,2733.0,2358.0,2644.0,2560.0,10295.0,160.2422645038859,Q1
Hermosillo,2871.0,2548.0,2433.0,2343.0,10195.0,230.63445102586041,Q1
Tonalá,2456.0,2306.0,2611.0,2712.0,10085.0,177.98010188407767,Q4
