municipio,entidad,total_delitos_auto,año_min,año_max,años_datos,promedio_anual,nivel_riesgo
Ecatepec de Morelos,México,64878,2015,2021,7,9268.285714285714,Muy Alto
Tijuana,Baja California,55095,2015,2021,7,7870.714285714285,Muy Alto
Guadalajara,Jalisco,53027,2015,2021,7,7575.285714285715,Muy Alto
Tlalnepantla de Baz,México,28901,2015,2021,7,4128.714285714285,Muy Alto
Mexicali,Baja California,26636,2015,2021,7,3805.1428571428573,Muy Alto
Puebla,Puebla,25178,2015,2021,7,3596.8571428571427,Muy Alto
Zapopan,Jalisco,24694,2015,2021,7,3527.714285714286,Muy Alto
Querétaro,Querétaro,24613,2015,2021,7,3516.1428571428573,Muy Alto
Aguascalientes,Aguascalientes,20536,2015,2021,7,2933.714285714286,Muy Alto
Toluca,México,20396,2015,2021,7,2913.714285714286,Muy Alto
Naucalpan de Juárez,México,20387,2015,2021,7,2912.4285714285716,Muy Alto
Iztapalapa,Ciudad de México,20102,2015,2021,7,2871.714285714286,Muy Alto
Culiacán,Sinaloa,19294,2015,2021,7,2756.285714285714,Muy Alto
Juárez,Chihuahua,17995,2015,2021,7,2570.714285714286,Muy Alto
Cuautitlán Izcalli,México,17714,2015,2021,7,2530.5714285714284,Muy Alto
Nezahualcóyotl,México,17224,2015,2021,7,2460.5714285714284,Muy Alto
San Luis Potosí,San Luis Potosí,15919,2015,2021,7,2274.1428571428573,Muy Alto
Gustavo A. Madero,Ciudad de México,15783,2015,2021,7,2254.714285714286,Muy Alto
Benito Juárez,Ciudad de México,14848,2015,2021,7,2121.1428571428573,Muy Alto
Cuernavaca,Morelos,14280,2015,2021,7,2040.0,Muy Alto
Morelia,Michoacán de Ocampo,14182,2015,2021,7,2026.0,Muy Alto
Ensenada,Baja California,13203,2015,2021,7,1886.142857142857,Muy Alto
Cuauhtémoc,Ciudad de México,13039,2015,2021,7,1862.7142857142858,Muy Alto
Chimalhuacán,México,12237,2015,2021,7,1748.142857142857,Muy Alto
Tultitlán,México,12196,2015,2021,7,1742.2857142857142,Muy Alto
Acapulco de Juárez,Guerrero,12041,2015,2021,7,1720.142857142857,Muy Alto
Tecámac,México,11907,2015,2021,7,1701.0,Muy Alto
San Pedro Tlaquepaque,Jalisco,11723,2015,2021,7,1674.7142857142858,Muy Alto
Centro,Tabasco,11683,2015,2021,7,1669.0,Muy Alto
Reynosa,Tamaulipas,11382,2015,2021,7,1626.0,Muy Alto
Chihuahua,Chihuahua,10295,2015,2021,7,1470.7142857142858,Muy Alto
Hermosillo,Sonora,10195,2015,2021,7,1456.4285714285713,Muy Alto
Chalco,México,10013,2015,2021,7,1430.4285714285713,Muy Alto
Coyoacán,Ciudad de México,9815,2015,2021,7,1402.142857142857,Muy Alto
Tonalá,Jalisco,9718,2015,2021,7,1388.2857142857142,Muy Alto
Atizapán de Zaragoza,México,9282,2015,2021,7,1326.0,Muy Alto
Benito Juárez,Quintana Roo,9034,2015,2021,7,1290.5714285714287,Muy Alto
Uruapan,Michoacán de Ocampo,8660,2015,2021,7,1237.142857142857,Muy Alto
Tlalpan,Ciudad de México,8434,2015,2021,7,1204.857142857143,Muy Alto
Veracruz,Veracruz de Ignacio de la Llave,8132,2015,2021,7,1161.7142857142858,Muy Alto
Coacalco de Berriozábal,México,8094,2015,2021,7,1156.2857142857142,Muy Alto
Tlajomulco de Zúñiga,Jalisco,7833,2015,2021,7,1119.0,Muy Alto
Valle de Chalco Solidaridad,México,7756,2015,2021,7,1108.0,Muy Alto
La Paz,México,7629,2015,2021,7,1089.857142857143,Muy Alto
Álvaro Obregón,Ciudad de México,7402,2015,2021,7,1057.4285714285713,Muy Alto
Azcapotzalco,Ciudad de México,7095,2015,2021,7,1013.5714285714286,Muy Alto
León,Guanajuato,6715,2015,2021,7,959.2857142857143,Alto
Pachuca de Soto,Hidalgo,6670,2015,2021,7,952.8571428571429,Alto
Miguel Hidalgo,Ciudad de México,6490,2015,2021,7,927.1428571428571,Alto
Celaya,Guanajuato,6274,2015,2021,7,896.2857142857143,Alto
Venustiano Carranza,Ciudad de México,6206,2015,2021,7,886.5714285714286,Alto
Xalapa,Veracruz de Ignacio de la Llave,6203,2015,2021,7,886.1428571428571,Alto
Cajeme,Sonora,5955,2015,2021,7,850.7142857142857,Alto
Tehuacán,Puebla,5761,2015,2021,7,823.0,Alto
