municipio,Robo,score_riesgo
Ecatepec de Morelos,64878,129756
Tijuana,55095,110190
Guadalajara,53027,106054
Tlalnepantla de Baz,28901,57802
Mexicali,26636,53272
Puebla,25178,50356
Zapopan,24694,49388
Querétaro,24613,49226
Benito Juárez,24146,48292
Aguascalientes,20536,41072
Toluca,20396,40792
Naucalpan de Juárez,20387,40774
Iztapalapa,20102,40204
Culiacán,19294,38588
Juárez,19218,38436
Cuautitlán Izcalli,17714,35428
Nezahualcóyotl,17224,34448
San Luis Potosí,15919,31838
Gustavo A. Madero,15783,31566
Cuernavaca,14280,28560
Morelia,14182,28364
Cuauhtémoc,13828,27656
Ensenada,13203,26406
Chimalhuacán,12237,24474
Tultitlán,12196,24392
Acapulco de Juárez,12041,24082
Tecámac,11907,23814
La Paz,11898,23796
San Pedro Tlaquepaque,11723,23446
Centro,11683,23366
Reynosa,11382,22764
Chihuahua,10295,20590
Hermosillo,10195,20390
Tonalá,10085,20170
Chalco,10013,20026
Coyoacán,9815,19630
Atizapán de Zaragoza,9282,18564
Uruapan,8660,17320
Tlalpan,8434,16868
Veracruz,8132,16264
Coacalco de Berriozábal,8094,16188
Tlajomulco de Zúñiga,7833,15666
Valle de Chalco Solidaridad,7756,15512
Álvaro Obregón,7471,14942
Azcapotzalco,7095,14190
León,6715,13430
Pachuca de Soto,6670,13340
Miguel Hidalgo,6490,12980
Venustiano Carranza,6483,12966
Celaya,6274,12548
Xalapa,6203,12406
Cajeme,5955,11910
Tehuacán,5761,11522
Oaxaca de Juárez,5642,11284
Iztacalco,5591,11182
San Juan del Río,5580,11160
Texcoco,5453,10906
Jiutepec,5367,10734
Guadalupe,5246,10492
Durango,5219,10438
Ixtapaluca,5150,10300
Playas de Rosarito,5037,10074
Coatzacoalcos,4999,9998
Soledad de Graciano Sánchez,4819,9638
Monterrey,4710,9420
San Martín Texmelucan,4672,9344
Zumpango,4604,9208
Cuautla,4559,9118
Xochimilco,4523,9046
Nicolás Romero,4437,8874
Mazatlán,4308,8616
Chilpancingo de los Bravo,4293,8586
Cárdenas,4119,8238
Metepec,3980,7960
Cuautitlán,3955,7910
Colima,3890,7780
Zamora,3809,7618
Tuxtla Gutiérrez,3783,7566
Apatzingán,3737,7474
Irapuato,3692,7384
Puerto Vallarta,3533,7066
Fresnillo,3418,6836
Tulancingo de Bravo,3409,6818
Chicoloapan,3289,6578
Matamoros,3269,6538
Tecate,3254,6508
Nuevo Laredo,3195,6390
Salamanca,3192,6384
Tláhuac,3138,6276
El Salto,3105,6210
Ahome,3073,6146
Los Cabos,2945,5890
Torreón,2935,5870
Córdoba,2915,5830
Comalcalco,2913,5826
Lázaro Cárdenas,2851,5702
Poza Rica de Hidalgo,2732,5464
Tultepec,2696,5392
Acolman,2627,5254
Zacatecas,2514,5028
Tecamachalco,2475,4950
Victoria,2352,4704
Saltillo,2344,4688
Tula de Allende,2343,4686
Corregidora,2320,4640
